number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,6.0660128956398776,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,5.901747663748781,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,4.030356738104205,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,6.469489244167017,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,4.8800755027273865,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,9.906748327440308,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,5.1494434191595495,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,8.85332302023856,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,4.988389133897433,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,5.747671293466153,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,4.552695539702432,COMPLETE,16,True,0.010777125368891749,0.007834385276296922,1.0744583847151146e-05,2,10,512,128.0
11,4.519828053535052,COMPLETE,16,True,0.010268561024202344,0.008731195825284107,1.0958345355860072e-05,2,10,512,128.0
12,4.466020629288885,COMPLETE,16,True,0.0042228645891158115,0.001299013225333429,1.1328985497361241e-05,2,10,512,128.0
13,4.617437206980348,COMPLETE,16,True,0.13853002745123738,0.0012703288889818446,2.615480214725184e-05,2,10,512,128.0
14,5.609910057324936,COMPLETE,16,True,0.2237409046846558,0.00015774375507166438,0.00010840362542077895,2,10,512,512.0
15,4.23789815250994,COMPLETE,32,True,0.07669459456958402,0.0018128443389513703,0.0009096015328440248,2,15,512,128.0
16,4.086780927091756,COMPLETE,32,True,0.09283456231692061,0.0023022303078378396,0.0009589148036053674,2,15,512,256.0
17,4.746069934351453,COMPLETE,32,True,0.24597164713394926,5.3469641445829144e-05,0.0005809784596014507,2,15,512,256.0
18,4.342808201348549,COMPLETE,32,True,0.08577776915411049,0.0003531071174392178,0.0001852521188785365,2,15,512,256.0
19,4.3733739844167046,COMPLETE,32,True,0.1556452616880436,0.0027021180479497413,0.0005881898182497951,2,15,128,256.0
