number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,13.694073137115748,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,13.805880940369477,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,12.946232094986405,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,14.412340436848861,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,12.23675172546335,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,15.26286511079753,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,12.387832067026398,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,14.298527228482405,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,12.142657526601186,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,13.314721945276128,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,14.24891568767967,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,12.034188415839507,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,11.989116021335937,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,12.141448146096298,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,12.822904135690617,COMPLETE,32,True,0.21831917156393707,1.186655625057532e-06,0.0005582942712814385,1,20,512,
15,12.07147864967892,COMPLETE,16,False,0.3955801436661442,2.36471548964041e-05,0.0005185399960266263,1,20,512,
16,12.225271831258402,COMPLETE,32,False,0.38888303759381737,3.1875573134750223e-06,0.000573141392424499,1,20,512,
17,11.496365846864453,COMPLETE,32,False,0.22802819825456705,1.1125695610035655e-06,0.0009681133712452411,1,15,512,
18,11.253896054846097,COMPLETE,16,True,0.21762151083009348,3.431398959571911e-05,0.0002029641020421039,1,15,512,
19,10.666711528079258,COMPLETE,16,True,0.20623170517809486,7.540238293442766e-05,0.00016249940146934857,1,15,512,
