number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,18.00420828367108,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,18.52957921692861,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,17.21597183226719,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,19.629540601793433,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,15.872208409930613,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,18.531728951169693,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,16.366763717148405,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,18.519784009176036,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,15.504425478343368,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,16.212184535144637,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,22.471472896635525,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,15.028545776445748,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,15.017685692952577,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,15.136977091152279,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,16.85812528891338,COMPLETE,32,True,0.21831917156393707,1.186655625057532e-06,0.0005582942712814385,1,20,512,
15,15.131740721120604,COMPLETE,16,False,0.3955801436661442,2.36471548964041e-05,0.0005185399960266263,1,20,512,
16,15.429607409016857,COMPLETE,32,False,0.38888303759381737,3.1875573134750223e-06,0.000573141392424499,1,20,512,
17,15.071751331216783,COMPLETE,32,False,0.22802819825456705,1.1125695610035655e-06,0.0009681133712452411,1,15,512,
18,16.828690182636045,COMPLETE,16,True,0.46299823158204756,3.5006504443068795e-05,0.0002029641020421039,1,20,512,
19,15.693048918076377,COMPLETE,64,False,0.34572222835911803,8.179951670484903e-06,0.0004505413146245724,1,20,512,
20,15.41405557760279,COMPLETE,32,False,0.24688331544253134,2.6977791567292306e-06,0.0001322363353862786,2,15,128,256.0
21,14.589915153927672,COMPLETE,32,False,0.16959769481140266,1.1549487056457132e-06,0.0009963842929148667,1,15,512,
22,14.646227388942322,COMPLETE,32,False,0.00034956194091537163,2.3561711719811603e-06,0.0007342404337859682,1,15,512,
23,14.731127707523143,COMPLETE,32,False,0.004462471209194985,2.4357028863522784e-06,0.0006286616224708488,1,15,512,
24,14.77658364167126,COMPLETE,32,False,0.0052094848473164005,1.0250132089398296e-05,0.0006343056874655109,1,15,512,
