number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,9.701648654315402,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,9.973405170053134,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,6.980845109702683,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,10.422788953924378,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,6.840232394563204,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,10.68722613284968,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,7.624886932461183,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,11.609104998530341,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,6.55739863030256,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,7.8111121137340875,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,13.555455006260747,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,6.465188783096781,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,6.531466751342632,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,6.55068433811155,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,7.32199273784106,COMPLETE,32,True,0.21831917156393707,1.186655625057532e-06,0.0005582942712814385,1,20,512,
15,6.465012314573917,COMPLETE,16,False,0.3955801436661442,2.36471548964041e-05,0.0005185399960266263,1,20,512,
16,6.482264977351346,COMPLETE,16,False,0.4153635891406129,3.4566551486429976e-05,0.00045139628899289815,1,20,512,
17,6.569562309227668,COMPLETE,16,False,0.4515118718753753,0.00011590830495281844,0.0005215323458668235,1,15,512,
18,7.861174402964302,COMPLETE,16,True,0.24011998026822992,1.9352892780700226e-05,0.00017982068728458956,1,20,512,
19,6.497484824875192,COMPLETE,16,False,0.376430566438451,0.001438208799185627,0.0005854472289715208,1,20,512,
