number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,15.609116767114454,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,16.543319320862167,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,15.129343601366077,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,17.436871880947226,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,13.989249409530675,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,18.36527005718263,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,14.818652575999902,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,15.91476293149662,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,13.694554936525796,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,14.90374917366898,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,19.96251593666623,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,13.586271678242344,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,13.664519001409095,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,13.96255684940844,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,15.448968817559853,COMPLETE,32,True,0.21831917156393707,1.186655625057532e-06,0.0005582942712814385,1,20,512,
15,13.867199508936912,COMPLETE,16,False,0.3955801436661442,2.36471548964041e-05,0.0005185399960266263,1,20,512,
16,14.056930582453447,COMPLETE,32,False,0.38888303759381737,3.1875573134750223e-06,0.000573141392424499,1,20,512,
17,12.951253202858911,COMPLETE,32,False,0.22802819825456705,1.1125695610035655e-06,0.0009681133712452411,1,15,512,
18,15.38908797793666,COMPLETE,16,True,0.21928790109535387,3.5006504443068795e-05,0.00017982068728458956,1,15,512,
19,13.415226167083588,COMPLETE,64,False,0.1426181925966585,8.179951670484903e-06,0.0005157286936818691,1,15,512,
20,13.45880516965426,COMPLETE,64,False,0.14087229777530394,0.00011397103365972375,0.0004280170989139224,2,15,128,256.0
21,13.20575347052517,COMPLETE,64,False,0.13442508197061687,0.00018151879929332457,0.00044804733376894404,2,15,128,256.0
22,13.20403231841195,COMPLETE,64,False,0.01281484241177372,0.0016428818250443728,0.0002353981927507582,2,15,128,256.0
23,13.481692247987578,COMPLETE,64,False,0.03536520550890332,0.0024189716030678485,0.00018240058693270566,2,15,128,256.0
24,12.792782352770086,COMPLETE,64,False,0.006464918142495106,0.009935138101942596,0.00024173620473076193,2,15,128,256.0
