number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,6.946960823882646,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,6.930016222318457,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,6.325411204418094,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,9.294988768147283,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,5.561152528606245,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,10.819900304096711,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,5.774164464484889,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,9.935758878114502,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,5.458708661101789,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,6.91211775250718,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,10.99007482425293,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,5.235819381655776,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,5.133030311565307,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,5.186381669303186,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,6.363931900791717,COMPLETE,32,True,0.4129377071701195,1.1876999919298134e-06,0.0005687967318058018,1,20,512,
15,5.075945610233854,COMPLETE,16,False,0.2213862435496687,2.3203757096087464e-05,0.0005185399960266263,1,20,512,
16,4.776349403062744,COMPLETE,16,False,0.1935084669003452,3.4309961507946836e-05,0.00046201806601184217,1,20,512,
17,4.765267458269358,COMPLETE,16,False,0.19679119288107733,4.798243414118311e-05,0.0004898176106952305,1,15,512,
18,7.427178439606939,COMPLETE,16,True,0.17512711739188347,7.192487159045436e-05,0.00017982068728458956,1,15,512,
19,4.862759889627867,COMPLETE,16,False,0.2261975824598269,8.140656309707469e-05,0.0004505413146245724,1,15,512,
