number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,7.522711029132521,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,7.99153652394304,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,9.353488897109726,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,10.875729381655102,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,6.367656208887633,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,10.305133255256191,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,6.778601697140063,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,11.085476576700216,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,6.5589603780858114,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,8.836065336749545,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,23.881915328404848,COMPLETE,16,True,0.4176706820149926,0.0053599577657717935,1.1952270129143866e-05,1,20,512,
11,6.5116583681663744,COMPLETE,32,False,0.34402919106182495,1.1149362601793255e-06,0.0009371904969158459,1,20,256,
12,6.082299999892557,COMPLETE,32,False,0.3987360058277149,1.033501575816621e-06,0.0009902926255147145,1,20,512,
13,6.314526543512166,COMPLETE,32,False,0.44779609676624543,2.350699706323715e-05,0.0003942895226902098,1,20,512,
14,8.135291358908395,COMPLETE,32,True,0.4129377071701195,2.6527651978789925e-05,0.0005588154709563782,1,20,512,
15,5.801447649701642,COMPLETE,16,False,0.24592189438083875,6.67982266742624e-05,0.0005185399960266263,1,20,512,
16,5.824645005396141,COMPLETE,16,False,0.21295776167788869,9.344028792207712e-05,0.0005824854140047982,1,20,512,
17,6.0290784638156225,COMPLETE,16,False,0.20206638105436295,0.00011590830495281844,0.00014290158267544914,1,15,512,
18,9.503847707237655,COMPLETE,16,True,0.2155798365047827,8.443383565321408e-05,0.0005381943752024068,1,20,512,
19,5.944326813926818,COMPLETE,16,False,0.1426181925966585,0.001863089451987057,0.0002051576278414372,1,20,512,
