number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,16.07472954469076,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,17.139105956008585,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,18.753036666730335,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,20.286557636582167,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,15.466631807426722,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,16.497756346301287,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,15.284871823602577,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,17.165334989183286,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,14.671483086562375,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,15.827503759931139,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,40.54311512336818,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,14.920403306443736,COMPLETE,64,False,0.2985004064250913,0.006070701514183097,0.0009500188419290031,1,15,256,
12,15.073736160064712,COMPLETE,64,False,0.33136979306278674,0.001595247936747141,0.0009966320546414282,1,15,256,
13,14.599466831241035,COMPLETE,64,False,0.21003949942496092,0.009639757903159522,0.0009784278372499651,1,20,256,
14,20.222270362173703,COMPLETE,16,True,0.1909212563609857,0.0007758756261857196,0.0005993274567081085,1,20,256,
15,15.159249918161986,COMPLETE,32,False,0.3874353700715284,0.00012735052432381636,0.0005185399960266263,1,20,256,
16,14.536890223984662,COMPLETE,64,False,0.1922857262124868,0.0014899297953003155,0.0005541840173465758,1,20,256,
17,15.17313142452528,COMPLETE,64,False,0.19679119288107733,0.002068705352827134,0.0004531710519394053,1,20,256,
18,20.414190636363504,COMPLETE,64,True,0.1273435491995431,0.0020882175812860023,0.00017982068728458956,1,20,512,
19,15.254965205914559,COMPLETE,64,False,0.2261975824598269,0.006844008225341253,0.0005919253095398168,1,20,128,
