number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,12.361846964052933,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,11.738603411240517,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,6.782348122011439,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,10.096596888322136,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,7.481294716658513,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,8.76530204349553,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,8.554546551679973,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,10.852091395961674,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,6.996944799730384,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,8.420041542993184,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,9.116720493762614,COMPLETE,16,True,0.010777125368891749,0.007834385276296922,1.0744583847151146e-05,2,10,512,128.0
11,7.068668852035057,COMPLETE,32,True,0.3351148384675741,0.000791710725869817,0.0009340092686365474,1,20,256,
12,7.036212262605541,COMPLETE,32,True,0.2325565224383765,0.001091111475840282,0.0009758243170416498,1,20,512,
13,7.513039582279914,COMPLETE,32,True,0.39060948190295675,0.00011478407957753764,0.00011657227553209816,2,20,512,256.0
14,13.289663192799889,COMPLETE,32,True,0.007884189430685085,0.0015906616011654973,1.838360736798797e-05,1,15,256,
15,7.169188910092373,COMPLETE,16,True,0.1667197628740062,0.00022824118180728143,0.0005890526614162083,2,10,512,512.0
16,7.24037861677005,COMPLETE,32,True,0.10127263391545235,5.131956270418478e-05,0.00011099860907821791,1,20,256,
17,6.5938214761110405,COMPLETE,32,False,0.2591104230840896,0.0004261448074099851,0.0005349892389050563,2,10,512,128.0
18,6.5499017071247225,COMPLETE,16,False,0.24391994623453728,0.0027286459577390235,0.0005192503148445923,2,10,512,128.0
19,6.721720634046976,COMPLETE,16,False,0.23599856571446903,0.0038417328355618463,0.0004924340176736023,2,10,512,128.0
