number,value,state,param_batch_size,param_batchnorm,param_dropout,param_l2,param_lr,param_n_layers,param_patience,param_units_l0,param_units_l1
0,20.439323034290616,COMPLETE,64,False,0.0936111842654619,4.207053950287936e-06,0.00015930522616241006,1,10,128,
1,19.615066997198376,COMPLETE,32,False,0.17473748411882514,0.0002801635158716259,5.4041038546473305e-05,1,15,256,
2,16.815193160805478,COMPLETE,32,True,0.058603268403830316,0.0005456725485601478,9.7803370166594e-05,2,10,512,128.0
3,18.17039737076275,COMPLETE,64,True,0.5531245410138701,2.259279742015697e-06,4.473636174621264e-05,2,20,256,128.0
4,15.925626472206881,COMPLETE,32,False,0.46334686157799443,6.235377135673162e-06,0.0002592475660475158,1,20,512,
5,16.66420693387205,COMPLETE,32,False,0.5323276455457959,7.742116473996245e-05,0.0003323304206226791,2,10,128,256.0
6,16.89005165259758,COMPLETE,64,False,0.30514241469882164,0.0042684077100655,0.0003244160088734161,1,15,256,
7,18.89333541899141,COMPLETE,32,False,0.5376547799540959,1.8707420137660263e-05,7.148510793512978e-05,2,10,128,128.0
8,15.789205668841086,COMPLETE,32,False,0.3112743730460196,0.0006487477066058681,0.0008411909465645721,1,20,256,
9,16.122987608438677,COMPLETE,16,False,0.5913902724663604,9.294394155644998e-06,2.9872741995638415e-05,2,10,512,512.0
10,20.730541561203136,COMPLETE,16,True,0.310822298696709,0.0053599577657717935,1.1952270129143866e-05,1,20,256,
11,15.490022923961098,COMPLETE,32,False,0.3885266382400884,1.1149362601793255e-06,0.0009371904969158459,1,20,512,
12,15.321753319262239,COMPLETE,32,False,0.3396968430271824,1.0784543426087506e-06,0.0009966320546414282,1,20,512,
13,15.615227930776104,COMPLETE,32,False,0.4085652226810529,1.095029013176352e-06,0.0009800220769256218,1,20,512,
14,18.49194447018982,COMPLETE,32,True,0.21831917156393707,1.186655625057532e-06,0.0005582942712814385,1,20,512,
15,15.164055945035576,COMPLETE,16,False,0.3955801436661442,2.36471548964041e-05,0.0005185399960266263,1,20,512,
16,15.413954287683671,COMPLETE,16,False,0.4153635891406129,3.491642231964691e-05,0.00046201806601184217,1,20,512,
17,14.9118823094346,COMPLETE,16,False,0.22490336009542372,0.00011590830495281844,0.0005215323458668235,1,15,512,
18,19.33750044568859,COMPLETE,16,True,0.21877130913509732,0.00010714380281379018,0.00017982068728458956,1,15,512,
19,14.787247964639363,COMPLETE,16,False,0.1426181925966585,7.540238293442766e-05,0.0005795476705838391,1,15,512,
